County ,Farmer No.,Type ,Type  of Crop,VBA Contact Frequency,Peer Adoption Rate,Farmer Gender,Probability of Trial (%),Gender of Respondent
Tharaka Nithi,1,VBA,Green Grams ,High,High,Female,70,F
Tharaka Nithi,1,VBA,Green Grams ,High,High,Male,80,
Tharaka Nithi,1,VBA,Green Grams ,High,Low,Female,60,
Tharaka Nithi,1,VBA,Green Grams ,High,Low,Male,75,
Tharaka Nithi,1,VBA,Green Grams ,Low,High,Female,65,
Tharaka Nithi,1,VBA,Green Grams ,Low,High,Male,85,
Tharaka Nithi,1,VBA,Green Grams ,Low,Low,Female,50,
Tharaka Nithi,1,VBA,Green Grams ,Low,Low,Male,55,M
Tharaka Nithi,2,Farmer,Green Grams ,High,High,Female,80,
Tharaka Nithi,2,Farmer,Green Grams ,High,High,Male,5,
Tharaka Nithi,2,Farmer,Green Grams ,High,Low,Female,20,
Tharaka Nithi,2,Farmer,Green Grams ,High,Low,Male,10,
Tharaka Nithi,2,Farmer,Green Grams ,Low,High,Female,60,
Tharaka Nithi,2,Farmer,Green Grams ,Low,High,Male,40,
Tharaka Nithi,2,Farmer,Green Grams ,Low,Low,Female,30,
Tharaka Nithi,2,Farmer,Green Grams ,Low,Low,Male,25,
Tharaka Nithi,3,VBA,Sorghum,High,High,Female,80,M
Tharaka Nithi,3,VBA,Sorghum,High,High,Male,20,
Tharaka Nithi,3,VBA,Sorghum,High,Low,Female,30,
Tharaka Nithi,3,VBA,Sorghum,High,Low,Male,40,
Tharaka Nithi,3,VBA,Sorghum,Low,High,Female,60,
Tharaka Nithi,3,VBA,Sorghum,Low,High,Male,35,
Tharaka Nithi,3,VBA,Sorghum,Low,Low,Female,15,
Tharaka Nithi,3,VBA,Sorghum,Low,Low,Male,10,
Tharaka Nithi,4,Farmer,Green Grams ,High,High,Female,80,F
Tharaka Nithi,4,Farmer,Green Grams ,High,High,Male,70,
Tharaka Nithi,4,Farmer,Green Grams ,High,Low,Female,50,
Tharaka Nithi,4,Farmer,Green Grams ,High,Low,Male,40,
Tharaka Nithi,4,Farmer,Green Grams ,Low,High,Female,30,
Tharaka Nithi,4,Farmer,Green Grams ,Low,High,Male,20,
Tharaka Nithi,4,Farmer,Green Grams ,Low,Low,Female,20,
Tharaka Nithi,4,Farmer,Green Grams ,Low,Low,Male,10,
Tharaka Nithi,5,VBA,Sorghum,High,High,Female,60,M
Tharaka Nithi,5,VBA,Sorghum,High,High,Male,20,
Tharaka Nithi,5,VBA,Sorghum,High,Low,Female,60,
Tharaka Nithi,5,VBA,Sorghum,High,Low,Male,20,
Tharaka Nithi,5,VBA,Sorghum,Low,High,Female,60,
Tharaka Nithi,5,VBA,Sorghum,Low,High,Male,70,
Tharaka Nithi,5,VBA,Sorghum,Low,Low,Female,20,
Tharaka Nithi,5,VBA,Sorghum,Low,Low,Male,10,
Tharaka Nithi,6,Farmer,Maize,High,High,Female,50,M
Tharaka Nithi,6,Farmer,Maize,High,High,Male,70,
Tharaka Nithi,6,Farmer,Maize,High,Low,Female,20,
Tharaka Nithi,6,Farmer,Maize,High,Low,Male,40,
Tharaka Nithi,6,Farmer,Maize,Low,High,Female,30,
Tharaka Nithi,6,Farmer,Maize,Low,High,Male,45,
Tharaka Nithi,6,Farmer,Maize,Low,Low,Female,10,
Tharaka Nithi,6,Farmer,Maize,Low,Low,Male,5,
Tharaka Nithi,7,Farmer,Maize,High,High,Female,80,F
Tharaka Nithi,7,Farmer,Maize,High,High,Male,60,
Tharaka Nithi,7,Farmer,Maize,High,Low,Female,40,
Tharaka Nithi,7,Farmer,Maize,High,Low,Male,30,
Tharaka Nithi,7,Farmer,Maize,Low,High,Female,30,
Tharaka Nithi,7,Farmer,Maize,Low,High,Male,20,
Tharaka Nithi,7,Farmer,Maize,Low,Low,Female,15,
Tharaka Nithi,7,Farmer,Maize,Low,Low,Male,10,
Tharaka Nithi,8,Farmer,Maize,High,High,Female,70,M
Tharaka Nithi,8,Farmer,Maize,High,High,Male,60,
Tharaka Nithi,8,Farmer,Maize,High,Low,Female,30,
Tharaka Nithi,8,Farmer,Maize,High,Low,Male,30,
Tharaka Nithi,8,Farmer,Maize,Low,High,Female,40,
Tharaka Nithi,8,Farmer,Maize,Low,High,Male,40,
Tharaka Nithi,8,Farmer,Maize,Low,Low,Female,20,
Tharaka Nithi,8,Farmer,Maize,Low,Low,Male,10,
Tharaka Nithi,9,Farmer,Green Grams ,High,High,Female,80,F
Tharaka Nithi,9,Farmer,Green Grams ,High,High,Male,90,
Tharaka Nithi,9,Farmer,Green Grams ,High,Low,Female,50,
Tharaka Nithi,9,Farmer,Green Grams ,High,Low,Male,40,
Tharaka Nithi,9,Farmer,Green Grams ,Low,High,Female,60,
Tharaka Nithi,9,Farmer,Green Grams ,Low,High,Male,50,
Tharaka Nithi,9,Farmer,Green Grams ,Low,Low,Female,20,
Tharaka Nithi,9,Farmer,Green Grams ,Low,Low,Male,10,
Tharaka Nithi,10,VBA,Sorghum,High,High,Female,50,M
Tharaka Nithi,10,VBA,Sorghum,High,High,Male,80,
Tharaka Nithi,10,VBA,Sorghum,High,Low,Female,40,
Tharaka Nithi,10,VBA,Sorghum,High,Low,Male,50,
Tharaka Nithi,10,VBA,Sorghum,Low,High,Female,50,
Tharaka Nithi,10,VBA,Sorghum,Low,High,Male,40,
Tharaka Nithi,10,VBA,Sorghum,Low,Low,Female,20,
Tharaka Nithi,10,VBA,Sorghum,Low,Low,Male,10,
Tharaka Nithi,11,Farmer,Maize,High,High,Female,50,M
Tharaka Nithi,11,Farmer,Maize,High,High,Male,80,
Tharaka Nithi,11,Farmer,Maize,High,Low,Female,40,
Tharaka Nithi,11,Farmer,Maize,High,Low,Male,60,
Tharaka Nithi,11,Farmer,Maize,Low,High,Female,30,
Tharaka Nithi,11,Farmer,Maize,Low,High,Male,25,
