County ,Farmer No.,Type ,Type  of Crop,RA Practice,Difficulty (1–5),Cost (Low/Med/High),Time to Benefit (months),Adoption WITH VBA Support (%),Adoption WITHOUT VBA (%),
Tharaka Nithi,1,Farmer,Green Grams ,Ripping,1.00,Med,3.00,60.00,20.00,
Tharaka Nithi,1,Farmer,Green Grams ,Planting basins,1.00,Med,3.00,70.00,30.00,
Tharaka Nithi,1,Farmer,Green Grams ,Manure application,1.00,Med,1.00,80.00,70.00,
Tharaka Nithi,1,Farmer,Green Grams ,Mulching,1.00,Med,3.00,60.00,60.00,
Tharaka Nithi,1,Farmer,Green Grams ,Microdosing,1.00,Med,3.00,70.00,80.00,
Tharaka Nithi,1,Farmer,Green Grams ,Agroforestry,1.00,Med,3.00,65.00,60.00,
Tharaka Nithi,1,Farmer,Green Grams ,Intercropping,1.00,Med,3.00,80.00,70.00,
Tharaka Nithi,1,Farmer,Green Grams ,Crop rotation,1.00,Med,3.00,80.00,80.00,
Tharaka Nithi,2,Farmer,Green Grams ,Ripping,3.00,Med,3.00,70.00,40.00,
Tharaka Nithi,2,Farmer,Green Grams ,Planting basins,2.00,Low,3.00,50.00,30.00,
Tharaka Nithi,2,Farmer,Green Grams ,Manure application,1.00,Low,3.00,75.00,55.00,
Tharaka Nithi,2,Farmer,Green Grams ,Mulching,2.00,Low,3.00,75.00,50.00,
Tharaka Nithi,2,Farmer,Green Grams ,Microdosing,2.00,Med,3.00,50.00,30.00,
Tharaka Nithi,2,Farmer,Green Grams ,Agroforestry,3.00,Med,3.00,60.00,25.00,
Tharaka Nithi,2,Farmer,Green Grams ,Intercropping,2.00,High,3.00,50.00,25.00,
Tharaka Nithi,2,Farmer,Green Grams ,Crop rotation,1.00,Low,3.00,60.00,35.00,
Tharaka Nithi,3,VBA,Sorghum,Ripping,1.00,Med,6.00,90.00,50.00,
Tharaka Nithi,3,VBA,Sorghum,Planting basins,1.00,Med,3.00,90.00,50.00,
Tharaka Nithi,3,VBA,Sorghum,Manure application,1.00,Med,3.00,90.00,50.00,
Tharaka Nithi,3,VBA,Sorghum,Mulching,1.00,Low,3.00,90.00,30.00,
Tharaka Nithi,3,VBA,Sorghum,Microdosing,1.00,Med,3.00,90.00,35.00,
Tharaka Nithi,3,VBA,Sorghum,Agroforestry,1.00,High,6.00,90.00,20.00,
Tharaka Nithi,3,VBA,Sorghum,Intercropping,1.00,Low,3.00,90.00,50.00,
Tharaka Nithi,3,VBA,Sorghum,Crop rotation,1.00,Low,3.00,90.00,50.00,
Tharaka Nithi,4,Farmer,Green Grams ,Ripping,3.00,Med,3.00,80.00,70.00,
Tharaka Nithi,4,Farmer,Green Grams ,Planting basins,2.00,High,3.00,70.00,60.00,
Tharaka Nithi,4,Farmer,Green Grams ,Manure application,1.00,High,3.00,50.00,50.00,
Tharaka Nithi,4,Farmer,Green Grams ,Mulching,1.00,High,3.00,50.00,40.00,
Tharaka Nithi,4,Farmer,Green Grams ,Microdosing,1.00,High,3.00,40.00,40.00,
Tharaka Nithi,4,Farmer,Green Grams ,Agroforestry,1.00,High,3.00,30.00,30.00,
Tharaka Nithi,4,Farmer,Green Grams ,Intercropping,1.00,High,3.00,20.00,10.00,
Tharaka Nithi,4,Farmer,Green Grams ,Crop rotation,1.00,High,3.00,10.00,10.00,
Tharaka Nithi,5,Farmer,Green Grams ,Ripping,2.00,Med,3.00,50.00,80.00,
Tharaka Nithi,5,Farmer,Green Grams ,Planting basins,3.00,Med,3.00,60.00,90.00,
Tharaka Nithi,5,Farmer,Green Grams ,Manure application,1.00,Med,3.00,50.00,50.00,
Tharaka Nithi,5,Farmer,Green Grams ,Mulching,1.00,High,3.00,50.00,50.00,
Tharaka Nithi,5,Farmer,Green Grams ,Microdosing,1.00,High,3.00,50.00,60.00,
Tharaka Nithi,5,Farmer,Green Grams ,Agroforestry,1.00,High,3.00,50.00,60.00,
Tharaka Nithi,5,Farmer,Green Grams ,Intercropping,1.00,High,3.00,50.00,80.00,
Tharaka Nithi,5,Farmer,Green Grams ,Crop rotation,1.00,High,3.00,50.00,90.00,
Tharaka Nithi,8,VBA,Sorghum,Ripping,1.00,High,3.00,50.00,20.00,
Tharaka Nithi,8,VBA,Sorghum,Planting basins,1.00,Med,3.00,50.00,20.00,
Tharaka Nithi,8,VBA,Sorghum,Manure application,1.00,Low,3.00,90.00,60.00,
Tharaka Nithi,8,VBA,Sorghum,Mulching,2.00,Low,3.00,80.00,70.00,
Tharaka Nithi,8,VBA,Sorghum,Microdosing,1.00,Med,3.00,40.00,70.00,
Tharaka Nithi,8,VBA,Sorghum,Agroforestry,1.00,Low,3.00,80.00,80.00,
Tharaka Nithi,8,VBA,Sorghum,Intercropping,1.00,Low,3.00,90.00,80.00,
Tharaka Nithi,8,VBA,Sorghum,Crop rotation,1.00,Low,3.00,100.00,90.00,
Tharaka Nithi,9,Farmer,Green Grams ,Ripping,5.00,High,3.00,50.00,20.00,
Tharaka Nithi,9,Farmer,Green Grams ,Planting basins,3.00,Med,3.00,50.00,20.00,
Tharaka Nithi,9,Farmer,Green Grams ,Manure application,1.00,Low,3.00,90.00,60.00,
Tharaka Nithi,9,Farmer,Green Grams ,Mulching,1.00,Low,3.00,80.00,50.00,
Tharaka Nithi,9,Farmer,Green Grams ,Microdosing,2.00,Med,3.00,40.00,30.00,
Tharaka Nithi,9,Farmer,Green Grams ,Agroforestry,1.00,Low,3.00,80.00,70.00,
Tharaka Nithi,9,Farmer,Green Grams ,Intercropping,1.00,Low,3.00,80.00,70.00,
Tharaka Nithi,9,Farmer,Green Grams ,Crop rotation,1.00,Low,3.00,80.00,70.00,
Tharaka Nithi,10,Farmer,Maize,Ripping,2.00,Low,3.00,80.00,50.00,
Tharaka Nithi,10,Farmer,Maize,Planting basins,1.00,Low,3.00,70.00,50.00,
Tharaka Nithi,10,Farmer,Maize,Manure application,1.00,Med,3.00,68.00,40.00,
Tharaka Nithi,10,Farmer,Maize,Mulching,3.00,Low,3.00,80.00,60.00,
Tharaka Nithi,10,Farmer,Maize,Microdosing,4.00,Low,3.00,70.00,50.00,
Tharaka Nithi,10,Farmer,Maize,Agroforestry,3.00,Low,3.00,70.00,30.00,
Tharaka Nithi,10,Farmer,Maize,Intercropping,1.00,Low,3.00,80.00,80.00,
Tharaka Nithi,10,Farmer,Maize,Crop rotation,1.00,Low,3.00,80.00,80.00,
Tharaka Nithi,11,Farmer,Maize,Ripping,2.00,Low,3.00,80.00,50.00,
Tharaka Nithi,11,Farmer,Maize,Planting basins,1.00,Med,3.00,70.00,60.00,
Tharaka Nithi,11,Farmer,Maize,Manure application,1.00,Med,3.00,80.00,70.00,
Tharaka Nithi,11,Farmer,Maize,Mulching,1.00,High,3.00,70.00,60.00,
Tharaka Nithi,11,Farmer,Maize,Microdosing,1.00,High,3.00,80.00,70.00,
Tharaka Nithi,11,Farmer,Maize,Agroforestry,3.00,Low,3.00,70.00,60.00,
Tharaka Nithi,11,Farmer,Maize,Intercropping,1.00,Med,3.00,80.00,70.00,
Tharaka Nithi,11,Farmer,Maize,Crop rotation,1.00,Low,3.00,70.00,50.00,
Tharaka Nithi,12,Farmer,Green Grams ,Ripping,,Med,3.00,80.00,50.00,
Tharaka Nithi,12,Farmer,Green Grams ,Planting basins,,High,3.00,70.00,40.00,
Tharaka Nithi,12,Farmer,Green Grams ,Manure application,,Low,3.00,90.00,80.00,
Tharaka Nithi,12,Farmer,Green Grams ,Mulching,,Low,3.00,60.00,30.00,
Tharaka Nithi,12,Farmer,Green Grams ,Microdosing,,High,3.00,50.00,20.00,
Tharaka Nithi,12,Farmer,Green Grams ,Agroforestry,,High,3.00,75.00,60.00,
Tharaka Nithi,12,Farmer,Green Grams ,Intercropping,,Low,3.00,65.00,50.00,
Tharaka Nithi,12,Farmer,Green Grams ,Crop rotation,,Low,3.00,55.00,30.00,
Tharaka Nithi,16,VBA,Sorghum,Ripping,,Med,3.00,70.00,60.00,
Tharaka Nithi,16,VBA,Sorghum,Planting basins,,Med,3.00,60.00,50.00,
Tharaka Nithi,16,VBA,Sorghum,Manure application,,High,3.00,80.00,70.00,
Tharaka Nithi,16,VBA,Sorghum,Mulching,,Med,3.00,70.00,60.00,
Tharaka Nithi,16,VBA,Sorghum,Microdosing,,Med,3.00,70.00,50.00,
Tharaka Nithi,16,VBA,Sorghum,Agroforestry,,Med,3.00,80.00,50.00,
Tharaka Nithi,16,VBA,Sorghum,Intercropping,,Med,3.00,75.00,50.00,
Tharaka Nithi,16,VBA,Sorghum,Crop rotation,,High,3.00,70.00,60.00,
Tharaka Nithi,17,Farmer,Maize,Ripping,5.00,High,6.00,40.00,20.00,
Tharaka Nithi,17,Farmer,Maize,Planting basins,1.00,Med,4.00,80.00,50.00,
Tharaka Nithi,17,Farmer,Maize,Manure application,1.00,Med,6.00,60.00,40.00,
Tharaka Nithi,17,Farmer,Maize,Mulching,2.00,High,3.00,70.00,30.00,
Tharaka Nithi,17,Farmer,Maize,Microdosing,1.00,Low,4.00,100.00,80.00,
Tharaka Nithi,17,Farmer,Maize,Agroforestry,1.00,Low,12.00,90.00,60.00,
Tharaka Nithi,17,Farmer,Maize,Intercropping,2.00,Med,6.00,60.00,50.00,
Tharaka Nithi,17,Farmer,Maize,Crop rotation,2.00,Med,6.00,80.00,70.00,
Tharaka Nithi,18,VBA,Sorghum,Ripping,1.00,Med,3.00,80.00,50.00,
Tharaka Nithi,18,VBA,Sorghum,Planting basins,1.00,High,3.00,90.00,70.00,
Tharaka Nithi,18,VBA,Sorghum,Manure application,1.00,Low,3.00,90.00,75.00,
Tharaka Nithi,18,VBA,Sorghum,Mulching,1.00,Low,3.00,85.00,60.00,
Tharaka Nithi,18,VBA,Sorghum,Microdosing,3.00,High,3.00,70.00,50.00,
Tharaka Nithi,18,VBA,Sorghum,Agroforestry,2.00,Med,6.00,80.00,60.00,
