County ,Farmer No.,Type of Respondent,Type of Crop,Gender,Scenario Name,Baseline (bags/ac),Land (ac),Weather,Soil,Management,Practice 1,Practice 2,Practice 3,Lowest Yield in bags/ac,Highest Yield in bags/ac
Kitui,1,VBA,Maize,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,5,10
Kitui,1,VBA,Maize,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,1,2
Kitui,1,VBA,Maize,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),1.5,2
Kitui,1,VBA,Maize,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,0.5,0.75
Kitui,1,VBA,Maize,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,5,8
Kitui,2,VBA,Maize,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,4,10
Kitui,2,VBA,Maize,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,1,2
Kitui,2,VBA,Maize,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),1.5,2
Kitui,2,VBA,Maize,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,0.5,0.75
Kitui,2,VBA,Maize,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,5,8
Kitui,3,VBA,Maize,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,3,10
Kitui,3,VBA,Maize,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,1,2
Kitui,3,VBA,Maize,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),1.5,2
Kitui,3,VBA,Maize,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,0.5,0.75
Kitui,3,VBA,Maize,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,5,8
Kitui,4,VBA,Green Grams,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,5,14
Kitui,4,VBA,Green Grams,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,2,6
Kitui,4,VBA,Green Grams,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),4,5
Kitui,4,VBA,Green Grams,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,No use of Plantin Basins in Green Grams,
Kitui,4,VBA,Green Grams,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,1,3
Kitui,5,VBA,Green Grams,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,5,14
Kitui,5,VBA,Green Grams,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,2,6
Kitui,5,VBA,Green Grams,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),4,5
Kitui,5,VBA,Green Grams,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,No use of Plantin Basins in Green Grams,
Kitui,5,VBA,Green Grams,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,1,3
Kitui,6,VBA,Green Grams,,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,5,14
Kitui,6,VBA,Green Grams,,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,2,6
Kitui,6,VBA,Green Grams,,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),4,5
Kitui,6,VBA,Green Grams,,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,No use of Plantin Basins in Green Grams,
Kitui,6,VBA,Green Grams,,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,1,3
Kitui,7,VBA,Maize,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,8,18
Kitui,7,VBA,Maize,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,5,8
Kitui,7,VBA,Maize,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),8,12
Kitui,7,VBA,Maize,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,4,6
Kitui,7,VBA,Maize,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,3,5
Kitui,8,RA farmer,Green Grams,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,2,5
Kitui,8,RA farmer,Green Grams,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,50,150
Kitui,8,RA farmer,Green Grams,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),1,3
Kitui,8,RA farmer,Green Grams,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,20,50
Kitui,8,RA farmer,Green Grams,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,1.5,4
Kitui,9,VBA,Green Grams,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,6,8
Kitui,9,VBA,Green Grams,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,2,5
Kitui,9,VBA,Green Grams,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),1,2
Kitui,9,VBA,Green Grams,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,50,60
