household_id,group,manure,crop_rotation,intercropping,mulching,number_of_practices,base_yield,practice_effect,noise,yield_tha
1,Control,0,1,0,0,1,1.0988191917911878,0.07,-0.20932412051046898,0.9594950712807189
2,Control,0,0,0,1,1,0.7082820742643111,0.07,0.048833125415513906,0.8271151996798249
3,Control,1,0,0,0,1,1.384508089616228,0.07,-0.04796958165028431,1.4065385079659438
4,Control,0,0,0,0,0,1.4587429257790774,0,0.1785015384603807,1.6372444642394581
5,Control,0,0,0,0,0,0.9547361408963774,0,0.3044582834875212,1.2591944243838986
6,Control,1,0,0,0,1,0.945529399107194,0.07,-0.26959556137106233,0.7459338377361318
7,Control,0,1,0,1,2,0.44771824140845695,0.14,0.14408381249970342,0.7318020539081604
8,Control,1,0,0,0,1,1.049557784468566,0.07,0.006957078789257072,1.126514863257823
9,Control,0,0,0,0,0,0.32397349822516297,0,0.012737727579214903,0.5
10,Control,0,0,1,0,1,0.9389867386604336,0.07,0.21966443034141545,1.2286511690018491
11,Control,1,0,0,0,1,0.5532961960518904,0.07,0.10539150377980916,0.7286876998316996
12,Control,0,0,1,0,1,0.7582230605220732,0.07,-0.0114856756716495,0.8167373848504238
13,Control,0,0,0,0,0,0.9510279814241988,0,-0.058782766736499396,0.8922452146876994
14,Control,1,0,0,0,1,1.1577507353773657,0.07,-0.06177730260510078,1.165973432772265
15,Control,1,1,0,0,2,1.4207221100224843,0.14,-0.016865511140746896,1.5438565988817372
16,Control,0,0,0,0,0,0.872126409096083,0,-0.15234659175694887,0.7197798173391341
17,Control,0,1,0,0,1,0.9362209614790187,0.07,0.24115842785520922,1.247379389334228
18,Control,1,0,1,0,2,0.9307548942702965,0.14,0.10747517458358209,1.1782300688538785
19,Control,1,0,0,1,2,0.852353737552157,0.14,0.1338344913638322,1.1261882289159892
20,Control,0,0,1,0,1,0.9077801739711719,0.07,0.03440350226666008,1.012183676237832
21,Control,0,0,0,0,0,1.2140191015931086,0,0.04153909127376787,1.2555581928668764
22,Control,1,1,0,0,2,1.5269787470944087,0.14,0.025821410836202388,1.6928001579306113
23,Control,0,0,0,0,0,1.4706208881975313,0,0.24405826142323406,1.7146791496207654
24,Control,0,0,1,0,1,0.9656871817374063,0.07,-0.07768828404695644,0.9579988976904499
25,Control,1,0,0,0,1,1.1756836738642407,0.07,-0.21711289815446158,1.028570775709779
